Machine,Job,Product,Operation,Start,Duration,Completion
0,18,enzyme3,0,0,4,4
0,21,enzyme3,0,4,4,8
0,24,enzyme4,0,12,5,17
0,29,enzyme4,0,17,5,22
0,8,enzyme1,0,26,3,29
0,11,enzyme1,0,29,3,32
0,2,enzyme0,0,33,8,41
0,4,enzyme0,0,41,8,49
1,19,enzyme3,0,0,4,4
1,22,enzyme3,0,4,4,8
1,25,enzyme4,0,9,5,14
1,27,enzyme4,0,14,5,19
1,6,enzyme1,0,23,3,26
1,9,enzyme1,0,26,3,29
1,0,enzyme0,0,30,8,38
1,3,enzyme0,0,38,8,46
2,20,enzyme3,0,0,4,4
2,23,enzyme3,0,4,4,8
2,26,enzyme4,0,11,5,16
2,28,enzyme4,0,16,5,21
2,7,enzyme1,0,25,3,28
2,10,enzyme1,0,28,3,31
2,1,enzyme0,0,35,8,43
2,5,enzyme0,0,43,8,51
3,12,enzyme2,0,0,3,3
3,16,enzyme2,0,3,3,6
3,32,enzyme5,0,7,8,15
3,18,enzyme3,1,16,6,22
3,21,enzyme3,1,22,6,28
3,26,enzyme4,1,32,4,36
3,29,enzyme4,1,36,4,40
3,9,enzyme1,1,42,2,44
3,1,enzyme0,1,48,4,52
4,13,enzyme2,0,0,3,3
4,17,enzyme2,0,3,3,6
4,33,enzyme5,0,9,8,17
4,19,enzyme3,1,19,6,25
4,23,enzyme3,1,25,6,31
4,24,enzyme4,1,33,4,37
4,6,enzyme1,1,41,2,43
4,11,enzyme1,1,43,2,45
4,3,enzyme0,1,47,4,51
4,4,enzyme0,1,51,4,55
5,14,enzyme2,0,0,3,3
5,30,enzyme5,0,6,8,14
5,35,enzyme5,0,14,8,22
5,22,enzyme3,1,26,6,32
5,27,enzyme4,1,33,4,37
5,7,enzyme1,1,41,2,43
5,0,enzyme0,1,47,4,51
5,5,enzyme0,1,51,4,55
6,15,enzyme2,0,0,3,3
6,31,enzyme5,0,4,8,12
6,34,enzyme5,0,12,8,20
6,20,enzyme3,1,21,6,27
6,25,enzyme4,1,29,4,33
6,28,enzyme4,1,33,4,37
6,8,enzyme1,1,39,2,41
6,10,enzyme1,1,41,2,43
6,2,enzyme0,1,47,4,51
7,12,enzyme2,1,3,3,6
7,14,enzyme2,1,6,3,9
7,16,enzyme2,1,9,3,12
7,31,enzyme5,1,14,3,17
7,32,enzyme5,1,17,3,20
7,34,enzyme5,1,20,3,23
7,18,enzyme3,2,24,6,30
7,20,enzyme3,2,30,6,36
7,23,enzyme3,2,36,6,42
7,25,enzyme4,2,44,7,51
7,24,enzyme4,2,51,7,58
7,28,enzyme4,2,58,7,65
7,0,enzyme0,2,67,4,71
7,3,enzyme0,2,71,4,75
7,4,enzyme0,2,75,4,79
8,13,enzyme2,1,3,3,6
8,15,enzyme2,1,6,3,9
8,17,enzyme2,1,9,3,12
8,30,enzyme5,1,16,3,19
8,33,enzyme5,1,19,3,22
8,35,enzyme5,1,22,3,25
8,19,enzyme3,2,26,6,32
8,21,enzyme3,2,32,6,38
8,22,enzyme3,2,38,6,44
8,26,enzyme4,2,46,7,53
8,27,enzyme4,2,53,7,60
8,29,enzyme4,2,60,7,67
8,2,enzyme0,2,70,4,74
8,1,enzyme0,2,74,4,78
8,5,enzyme0,2,78,4,82
