Machine,Job,Product,Operation,Start,Duration,Completion
0,6,enzyme1,0,0,3,3
0,9,enzyme1,0,3,3,6
0,18,enzyme3,0,10,4,14
0,22,enzyme3,0,14,4,18
0,25,enzyme4,0,22,5,27
0,29,enzyme4,0,27,5,32
0,2,enzyme0,0,34,8,42
0,5,enzyme0,0,42,8,50
1,7,enzyme1,0,0,3,3
1,10,enzyme1,0,3,3,6
1,19,enzyme3,0,10,4,14
1,23,enzyme3,0,14,4,18
1,26,enzyme4,0,19,5,24
1,27,enzyme4,0,24,5,29
1,0,enzyme0,0,32,8,40
1,4,enzyme0,0,40,8,48
2,8,enzyme1,0,0,3,3
2,11,enzyme1,0,3,3,6
2,20,enzyme3,0,8,4,12
2,21,enzyme3,0,12,4,16
2,24,enzyme4,0,19,5,24
2,28,enzyme4,0,24,5,29
2,1,enzyme0,0,30,8,38
2,3,enzyme0,0,38,8,46
3,12,enzyme2,0,0,3,3
3,16,enzyme2,0,3,3,6
3,32,enzyme5,0,7,8,15
3,6,enzyme1,1,16,2,18
3,8,enzyme1,1,18,2,20
3,9,enzyme1,1,20,2,22
3,11,enzyme1,1,22,2,24
3,24,enzyme4,1,25,4,29
3,25,enzyme4,1,29,4,33
3,20,enzyme3,1,36,6,42
3,0,enzyme0,1,45,4,49
3,4,enzyme0,1,49,4,53
4,13,enzyme2,0,0,3,3
4,17,enzyme2,0,3,3,6
4,33,enzyme5,0,9,8,17
4,7,enzyme1,1,20,2,22
4,18,enzyme3,1,25,6,31
4,27,enzyme4,1,33,4,37
4,1,enzyme0,1,41,4,45
4,3,enzyme0,1,46,4,50
4,5,enzyme0,1,50,4,54
5,14,enzyme2,0,0,3,3
5,30,enzyme5,0,6,8,14
5,35,enzyme5,0,14,8,22
5,19,enzyme3,1,26,6,32
5,29,enzyme4,1,33,4,37
5,22,enzyme3,1,38,6,44
5,2,enzyme0,1,46,4,50
6,15,enzyme2,0,0,3,3
6,31,enzyme5,0,4,8,12
6,34,enzyme5,0,12,8,20
6,10,enzyme1,1,22,2,24
6,26,enzyme4,1,27,4,31
6,28,enzyme4,1,31,4,35
6,21,enzyme3,1,39,6,45
6,23,enzyme3,1,45,6,51
7,12,enzyme2,1,3,3,6
7,14,enzyme2,1,6,3,9
7,16,enzyme2,1,9,3,12
7,31,enzyme5,1,14,3,17
7,32,enzyme5,1,17,3,20
7,34,enzyme5,1,20,3,23
7,24,enzyme4,2,29,7,36
7,19,enzyme3,2,40,6,46
7,1,enzyme0,2,49,4,53
7,0,enzyme0,2,53,4,57
7,3,enzyme0,2,57,4,61
7,4,enzyme0,2,61,4,65
7,21,enzyme3,2,67,6,73
7,23,enzyme3,2,73,6,79
7,27,enzyme4,2,81,7,88
7,29,enzyme4,2,88,7,95
8,13,enzyme2,1,3,3,6
8,15,enzyme2,1,6,3,9
8,17,enzyme2,1,9,3,12
8,30,enzyme5,1,16,3,19
8,33,enzyme5,1,19,3,22
8,35,enzyme5,1,22,3,25
8,18,enzyme3,2,31,6,37
8,25,enzyme4,2,39,7,46
8,20,enzyme3,2,50,6,56
8,2,enzyme0,2,59,4,63
8,5,enzyme0,2,63,4,67
8,22,enzyme3,2,70,6,76
8,26,enzyme4,2,78,7,85
8,28,enzyme4,2,85,7,92
