Machine,Job,Product,Operation,Start,Duration,Completion
0,37,enzyme3,0,0,4,4
0,34,enzyme3,0,4,4,8
0,31,enzyme3,0,8,4,12
0,48,enzyme4,0,16,5,21
0,45,enzyme4,0,21,5,26
0,42,enzyme4,0,26,5,31
0,9,enzyme0,0,33,8,41
0,6,enzyme0,0,41,8,49
0,3,enzyme0,0,49,8,57
0,0,enzyme0,0,57,8,65
0,16,enzyme1,0,68,3,71
0,11,enzyme1,0,71,3,74
1,38,enzyme3,0,0,4,4
1,35,enzyme3,0,4,4,8
1,32,enzyme3,0,8,4,12
1,49,enzyme4,0,13,5,18
1,46,enzyme4,0,18,5,23
1,44,enzyme4,0,23,5,28
1,41,enzyme4,0,28,5,33
1,8,enzyme0,0,36,8,44
1,4,enzyme0,0,44,8,52
1,1,enzyme0,0,52,8,60
1,18,enzyme1,0,64,3,67
1,14,enzyme1,0,67,3,70
1,12,enzyme1,0,70,3,73
2,39,enzyme3,0,0,4,4
2,36,enzyme3,0,4,4,8
2,33,enzyme3,0,8,4,12
2,30,enzyme3,0,12,4,16
2,47,enzyme4,0,19,5,24
2,43,enzyme4,0,24,5,29
2,40,enzyme4,0,29,5,34
2,7,enzyme0,0,35,8,43
2,5,enzyme0,0,43,8,51
2,2,enzyme0,0,51,8,59
2,19,enzyme1,0,60,3,63
2,17,enzyme1,0,63,3,66
2,15,enzyme1,0,66,3,69
2,13,enzyme1,0,69,3,72
2,10,enzyme1,0,72,3,75
3,26,enzyme2,0,0,3,3
3,22,enzyme2,0,3,3,6
3,58,enzyme5,0,7,8,15
3,55,enzyme5,0,15,8,23
3,51,enzyme5,0,23,8,31
3,37,enzyme3,1,32,6,38
3,33,enzyme3,1,38,6,44
3,30,enzyme3,1,44,6,50
3,45,enzyme4,1,54,4,58
3,7,enzyme0,1,61,4,65
3,3,enzyme0,1,65,4,69
3,19,enzyme1,1,72,2,74
3,16,enzyme1,1,74,2,76
3,11,enzyme1,1,76,2,78
4,27,enzyme2,0,0,3,3
4,23,enzyme2,0,3,3,6
4,59,enzyme5,0,9,8,17
4,54,enzyme5,0,17,8,25
4,50,enzyme5,0,25,8,33
4,35,enzyme3,1,35,6,41
4,31,enzyme3,1,41,6,47
4,46,enzyme4,1,49,4,53
4,42,enzyme4,1,53,4,57
4,9,enzyme0,1,61,4,65
4,4,enzyme0,1,65,4,69
4,0,enzyme0,1,69,4,73
4,15,enzyme1,1,75,2,77
4,10,enzyme1,1,77,2,79
5,28,enzyme2,0,0,3,3
5,24,enzyme2,0,3,3,6
5,20,enzyme2,0,6,3,9
5,56,enzyme5,0,12,8,20
5,52,enzyme5,0,20,8,28
5,38,enzyme3,1,32,6,38
5,34,enzyme3,1,38,6,44
5,49,enzyme4,1,45,4,49
5,47,enzyme4,1,49,4,53
5,43,enzyme4,1,53,4,57
5,40,enzyme4,1,57,4,61
5,6,enzyme0,1,62,4,66
5,2,enzyme0,1,66,4,70
5,17,enzyme1,1,72,2,74
5,14,enzyme1,1,74,2,76
5,12,enzyme1,1,76,2,78
6,29,enzyme2,0,0,3,3
6,25,enzyme2,0,3,3,6
6,21,enzyme2,0,6,3,9
6,57,enzyme5,0,10,8,18
6,53,enzyme5,0,18,8,26
6,39,enzyme3,1,27,6,33
6,36,enzyme3,1,33,6,39
6,32,enzyme3,1,39,6,45
6,48,enzyme4,1,47,4,51
6,44,enzyme4,1,51,4,55
6,41,enzyme4,1,55,4,59
6,8,enzyme0,1,61,4,65
6,5,enzyme0,1,65,4,69
6,1,enzyme0,1,69,4,73
6,18,enzyme1,1,74,2,76
6,13,enzyme1,1,76,2,78
7,28,enzyme2,1,3,3,6
7,26,enzyme2,1,6,3,9
7,24,enzyme2,1,9,3,12
7,22,enzyme2,1,12,3,15
7,20,enzyme2,1,15,3,18
7,59,enzyme5,1,20,3,23
7,57,enzyme5,1,23,3,26
7,55,enzyme5,1,26,3,29
7,53,enzyme5,1,29,3,32
7,51,enzyme5,1,32,3,35
7,39,enzyme3,2,36,6,42
7,37,enzyme3,2,42,6,48
7,35,enzyme3,2,48,6,54
7,33,enzyme3,2,54,6,60
7,31,enzyme3,2,60,6,66
7,30,enzyme3,2,66,6,72
7,47,enzyme4,2,74,7,81
7,44,enzyme4,2,81,7,88
7,42,enzyme4,2,88,7,95
7,41,enzyme4,2,95,7,102
7,9,enzyme0,2,104,4,108
7,7,enzyme0,2,108,4,112
7,6,enzyme0,2,112,4,116
7,4,enzyme0,2,116,4,120
7,2,enzyme0,2,120,4,124
7,0,enzyme0,2,124,4,128
8,29,enzyme2,1,3,3,6
8,27,enzyme2,1,6,3,9
8,25,enzyme2,1,9,3,12
8,23,enzyme2,1,12,3,15
8,21,enzyme2,1,15,3,18
8,58,enzyme5,1,22,3,25
8,56,enzyme5,1,25,3,28
8,54,enzyme5,1,28,3,31
8,52,enzyme5,1,31,3,34
8,50,enzyme5,1,34,3,37
8,38,enzyme3,2,38,6,44
8,36,enzyme3,2,44,6,50
8,34,enzyme3,2,50,6,56
8,32,enzyme3,2,56,6,62
8,49,enzyme4,2,64,7,71
8,48,enzyme4,2,71,7,78
8,46,enzyme4,2,78,7,85
8,43,enzyme4,2,85,7,92
8,45,enzyme4,2,92,7,99
8,40,enzyme4,2,99,7,106
8,8,enzyme0,2,109,4,113
8,5,enzyme0,2,113,4,117
8,3,enzyme0,2,117,4,121
8,1,enzyme0,2,121,4,125
