Machine,Job,Product,Operation,Start,Duration,Completion
0,39,enzyme3,0,0,4,4
0,42,enzyme3,0,4,4,8
0,45,enzyme3,0,8,4,12
0,48,enzyme3,0,12,4,16
0,51,enzyme3,0,16,4,20
0,54,enzyme4,0,24,5,29
0,58,enzyme4,0,29,5,34
0,61,enzyme4,0,34,5,39
0,64,enzyme4,0,39,5,44
0,15,enzyme1,0,48,3,51
0,19,enzyme1,0,51,3,54
0,22,enzyme1,0,54,3,57
0,25,enzyme1,0,57,3,60
0,2,enzyme0,0,61,8,69
0,4,enzyme0,0,69,8,77
0,7,enzyme0,0,77,8,85
0,10,enzyme0,0,85,8,93
1,40,enzyme3,0,0,4,4
1,43,enzyme3,0,4,4,8
1,46,enzyme3,0,8,4,12
1,49,enzyme3,0,12,4,16
1,52,enzyme4,0,17,5,22
1,55,enzyme4,0,22,5,27
1,57,enzyme4,0,27,5,32
1,60,enzyme4,0,32,5,37
1,63,enzyme4,0,37,5,42
1,14,enzyme1,0,46,3,49
1,17,enzyme1,0,49,3,52
1,20,enzyme1,0,52,3,55
1,23,enzyme1,0,55,3,58
1,0,enzyme0,0,59,8,67
1,3,enzyme0,0,67,8,75
1,6,enzyme0,0,75,8,83
1,9,enzyme0,0,83,8,91
1,12,enzyme0,0,91,8,99
2,41,enzyme3,0,0,4,4
2,44,enzyme3,0,4,4,8
2,47,enzyme3,0,8,4,12
2,50,enzyme3,0,12,4,16
2,53,enzyme4,0,19,5,24
2,56,enzyme4,0,24,5,29
2,59,enzyme4,0,29,5,34
2,62,enzyme4,0,34,5,39
2,13,enzyme1,0,43,3,46
2,16,enzyme1,0,46,3,49
2,18,enzyme1,0,49,3,52
2,21,enzyme1,0,52,3,55
2,24,enzyme1,0,55,3,58
2,1,enzyme0,0,62,8,70
2,5,enzyme0,0,70,8,78
2,8,enzyme0,0,78,8,86
2,11,enzyme0,0,86,8,94
3,26,enzyme2,0,0,3,3
3,30,enzyme2,0,3,3,6
3,34,enzyme2,0,6,3,9
3,38,enzyme2,0,9,3,12
3,68,enzyme5,0,13,8,21
3,72,enzyme5,0,21,8,29
3,76,enzyme5,0,29,8,37
3,41,enzyme3,1,38,6,44
3,43,enzyme3,1,44,6,50
3,47,enzyme3,1,50,6,56
3,50,enzyme3,1,56,6,62
3,56,enzyme4,1,66,4,70
3,61,enzyme4,1,70,4,74
3,64,enzyme4,1,74,4,78
3,15,enzyme1,1,80,2,82
3,21,enzyme1,1,82,2,84
3,25,enzyme1,1,84,2,86
3,3,enzyme0,1,90,4,94
3,7,enzyme0,1,94,4,98
3,11,enzyme0,1,98,4,102
4,27,enzyme2,0,0,3,3
4,31,enzyme2,0,3,3,6
4,35,enzyme2,0,6,3,9
4,65,enzyme5,0,12,8,20
4,70,enzyme5,0,20,8,28
4,74,enzyme5,0,28,8,36
4,39,enzyme3,1,38,6,44
4,44,enzyme3,1,44,6,50
4,52,enzyme4,1,52,4,56
4,53,enzyme4,1,56,4,60
4,51,enzyme3,1,63,6,69
4,60,enzyme4,1,71,4,75
4,13,enzyme1,1,79,2,81
4,18,enzyme1,1,81,2,83
4,22,enzyme1,1,83,2,85
4,0,enzyme0,1,87,4,91
4,4,enzyme0,1,91,4,95
4,8,enzyme0,1,95,4,99
4,12,enzyme0,1,99,4,103
5,28,enzyme2,0,0,3,3
5,32,enzyme2,0,3,3,6
5,36,enzyme2,0,6,3,9
5,66,enzyme5,0,12,8,20
5,71,enzyme5,0,20,8,28
5,75,enzyme5,0,28,8,36
5,40,enzyme3,1,40,6,46
5,45,enzyme3,1,46,6,52
5,48,enzyme3,1,52,6,58
5,55,enzyme4,1,59,4,63
5,57,enzyme4,1,63,4,67
5,58,enzyme4,1,67,4,71
5,62,enzyme4,1,71,4,75
5,14,enzyme1,1,79,2,81
5,19,enzyme1,1,81,2,83
5,23,enzyme1,1,83,2,85
5,2,enzyme0,1,89,4,93
5,5,enzyme0,1,93,4,97
5,9,enzyme0,1,97,4,101
6,29,enzyme2,0,0,3,3
6,33,enzyme2,0,3,3,6
6,37,enzyme2,0,6,3,9
6,67,enzyme5,0,10,8,18
6,69,enzyme5,0,18,8,26
6,73,enzyme5,0,26,8,34
6,77,enzyme5,0,34,8,42
6,42,enzyme3,1,43,6,49
6,46,enzyme3,1,49,6,55
6,49,enzyme3,1,55,6,61
6,54,enzyme4,1,63,4,67
