Machine,Job,Product,Operation,Start,Duration,Completion
0,27,enzyme3,0,0,4,4
0,30,enzyme3,0,4,4,8
0,33,enzyme3,0,8,4,12
0,36,enzyme4,0,16,5,21
0,41,enzyme4,0,21,5,26
0,44,enzyme4,0,26,5,31
0,2,enzyme0,0,33,8,41
0,5,enzyme0,0,41,8,49
0,8,enzyme0,0,49,8,57
0,11,enzyme1,0,60,3,63
0,15,enzyme1,0,63,3,66
1,28,enzyme3,0,0,4,4
1,31,enzyme3,0,4,4,8
1,34,enzyme3,0,8,4,12
1,37,enzyme4,0,13,5,18
1,39,enzyme4,0,18,5,23
1,42,enzyme4,0,23,5,28
1,0,enzyme0,0,31,8,39
1,3,enzyme0,0,39,8,47
1,6,enzyme0,0,47,8,55
1,9,enzyme1,0,59,3,62
1,13,enzyme1,0,62,3,65
1,16,enzyme1,0,65,3,68
2,29,enzyme3,0,0,4,4
2,32,enzyme3,0,4,4,8
2,35,enzyme3,0,8,4,12
2,38,enzyme4,0,15,5,20
2,40,enzyme4,0,20,5,25
2,43,enzyme4,0,25,5,30
2,1,enzyme0,0,31,8,39
2,4,enzyme0,0,39,8,47
2,7,enzyme0,0,47,8,55
2,10,enzyme1,0,56,3,59
2,12,enzyme1,0,59,3,62
2,14,enzyme1,0,62,3,65
2,17,enzyme1,0,65,3,68
3,18,enzyme2,0,0,3,3
3,22,enzyme2,0,3,3,6
3,26,enzyme2,0,6,3,9
3,48,enzyme5,0,10,8,18
3,52,enzyme5,0,18,8,26
3,29,enzyme3,1,27,6,33
3,31,enzyme3,1,33,6,39
3,35,enzyme3,1,39,6,45
3,39,enzyme4,1,49,4,53
3,0,enzyme0,1,56,4,60
3,5,enzyme0,1,60,4,64
3,10,enzyme1,1,67,2,69
3,14,enzyme1,1,69,2,71
3,17,enzyme1,1,71,2,73
4,19,enzyme2,0,0,3,3
4,23,enzyme2,0,3,3,6
4,45,enzyme5,0,9,8,17
4,50,enzyme5,0,17,8,25
4,27,enzyme3,1,27,6,33
4,32,enzyme3,1,33,6,39
4,37,enzyme4,1,41,4,45
4,40,enzyme4,1,45,4,49
4,42,enzyme4,1,49,4,53
4,1,enzyme0,1,57,4,61
4,7,enzyme0,1,61,4,65
4,12,enzyme1,1,67,2,69
4,15,enzyme1,1,69,2,71
5,20,enzyme2,0,0,3,3
5,24,enzyme2,0,3,3,6
5,46,enzyme5,0,9,8,17
5,51,enzyme5,0,17,8,25
5,28,enzyme3,1,29,6,35
5,33,enzyme3,1,35,6,41
5,38,enzyme4,1,42,4,46
5,41,enzyme4,1,46,4,50
5,43,enzyme4,1,50,4,54
5,2,enzyme0,1,55,4,59
5,4,enzyme0,1,59,4,63
5,8,enzyme0,1,63,4,67
5,11,enzyme1,1,69,2,71
6,21,enzyme2,0,0,3,3
6,25,enzyme2,0,3,3,6
6,47,enzyme5,0,7,8,15
6,49,enzyme5,0,15,8,23
6,53,enzyme5,0,23,8,31
6,30,enzyme3,1,32,6,38
6,34,enzyme3,1,38,6,44
6,36,enzyme4,1,46,4,50
6,44,enzyme4,1,50,4,54
6,3,enzyme0,1,56,4,60
6,6,enzyme0,1,60,4,64
6,9,enzyme1,1,65,2,67
6,13,enzyme1,1,67,2,69
6,16,enzyme1,1,69,2,71
7,18,enzyme2,1,3,3,6
7,20,enzyme2,1,6,3,9
7,22,enzyme2,1,9,3,12
7,24,enzyme2,1,12,3,15
7,26,enzyme2,1,15,3,18
7,45,enzyme5,1,20,3,23
7,48,enzyme5,1,23,3,26
7,50,enzyme5,1,26,3,29
7,52,enzyme5,1,29,3,32
7,27,enzyme3,2,33,6,39
7,28,enzyme3,2,39,6,45
7,31,enzyme3,2,45,6,51
7,33,enzyme3,2,51,6,57
7,35,enzyme3,2,57,6,63
7,38,enzyme4,2,65,7,72
7,36,enzyme4,2,72,7,79
7,39,enzyme4,2,79,7,86
7,43,enzyme4,2,86,7,93
7,2,enzyme0,2,95,4,99
7,3,enzyme0,2,99,4,103
7,1,enzyme0,2,103,4,107
7,5,enzyme0,2,107,4,111
7,7,enzyme0,2,111,4,115
8,19,enzyme2,1,3,3,6
8,21,enzyme2,1,6,3,9
8,23,enzyme2,1,9,3,12
8,25,enzyme2,1,12,3,15
8,47,enzyme5,1,19,3,22
8,46,enzyme5,1,22,3,25
8,49,enzyme5,1,25,3,28
8,51,enzyme5,1,28,3,31
8,53,enzyme5,1,31,3,34
8,29,enzyme3,2,35,6,41
8,30,enzyme3,2,41,6,47
8,32,enzyme3,2,47,6,53
8,34,enzyme3,2,53,6,59
8,37,enzyme4,2,61,7,68
8,40,enzyme4,2,68,7,75
8,41,enzyme4,2,75,7,82
8,42,enzyme4,2,82,7,89
8,44,enzyme4,2,89,7,96
8,0,enzyme0,2,99,4,103
8,4,enzyme0,2,103,4,107
8,6,enzyme0,2,107,4,111
8,8,enzyme0,2,111,4,115
